Age,Balance,Products,Active,Tenure,CreditScore,EstimatedSalary,Churn
39,151236.52,2,1,2.3,783,180066.12,0
23,30363.61,1,0,2.0,563,71157.03,1
26,57345.2,3,1,2.7,637,128391.19,0
27,30560.55,3,0,2.2,582,119547.64,0
30,52465.4,1,1,3.6,514,157025.09,1
44,37051.38,2,1,3.5,597,212897.87,1
31,204522.5,1,0,6.7,800,104552.82,1
36,87921.69,2,1,2.5,636,41025.19,1
53,74334.47,1,1,4.1,809,65668.97,1
36,217263.33,1,1,3.6,817,240695.7,1
47,210037.07,2,1,7.0,850,47627.99,1
31,78998.7,1,1,4.6,802,112547.19,0
38,128678.3,2,1,7.6,839,29028.57,0
30,66728.31,2,1,2.1,676,48996.92,1
37,98113.14,1,1,4.9,668,134146.36,1
48,43292.04,1,1,3.6,674,91468.27,1
23,141846.63,2,1,1.9,650,75975.49,0
44,222855.52,2,1,4.8,662,62386.53,0
42,197848.6,1,0,9.3,710,36648.24,1
34,109216.39,1,0,2.9,613,122957.94,1
26,17088.68,2,1,4.7,540,79233.04,1
41,64298.24,2,1,1.7,679,45375.41,0
35,98023.42,2,1,1.4,595,91231.0,0
42,32756.6,1,1,3.0,603,116906.13,0
40,27621.44,2,1,3.9,639,82228.87,1
56,250000.0,2,0,4.0,620,94822.47,1
38,182874.14,1,0,4.4,739,91557.46,1
30,149383.7,1,1,0.9,637,65480.47,0
42,169051.23,1,0,3.4,743,92224.56,1
42,38167.04,2,1,6.3,666,125293.29,0
54,50997.17,1,0,1.6,643,143365.79,1
48,123320.75,2,0,4.1,663,128462.61,0
44,130125.65,2,1,5.7,547,66421.15,0
55,30970.52,1,1,3.0,677,119833.74,1
28,117273.78,2,1,5.9,718,110971.07,0
34,99341.79,2,0,1.2,729,65394.67,1
31,193722.8,1,1,7.2,542,73029.9,0
36,130570.31,2,0,5.9,528,122201.53,0
26,250000.0,2,1,5.1,607,167238.07,0
46,79340.87,1,1,7.8,761,39827.49,0
38,40522.07,2,1,4.2,668,188262.49,1
25,250000.0,2,1,3.5,588,151969.76,0
30,135313.91,1,1,8.4,534,98436.63,0
43,99769.05,4,0,9.6,595,80760.44,1
48,52625.88,2,1,3.3,590,107286.7,0
60,80050.85,2,0,4.7,725,67461.38,0
69,76851.12,1,0,7.6,731,83083.57,0
44,38933.88,1,1,4.8,566,46341.95,0
30,11728.93,1,1,6.5,710,41104.78,0
19,75463.99,2,1,7.0,702,250000.0,1
43,171930.29,2,0,3.6,556,92591.15,1
32,235202.18,2,0,6.0,643,98639.3,0
36,198695.31,1,0,5.0,677,88763.89,1
34,206276.95,2,0,2.0,663,62010.97,0
39,43151.69,2,1,2.5,513,78384.93,1
51,124949.51,2,1,3.4,660,93769.96,0
42,150172.41,2,1,7.3,701,82378.33,0
38,156695.9,3,0,7.4,776,64156.05,1
30,98156.36,1,1,6.9,596,111673.52,0
23,114480.3,2,1,6.1,606,97961.43,0
35,194856.41,3,1,6.0,633,107406.23,1
39,146523.37,2,1,5.7,673,123603.62,0
58,165176.32,1,1,6.0,658,83352.11,1
41,72792.13,4,1,6.2,698,83413.49,1
50,159425.2,1,0,1.5,560,175372.68,1
35,113407.58,1,0,3.0,682,58850.65,1
28,182145.19,1,1,2.4,591,38732.36,0
30,60101.65,1,0,7.8,639,115561.41,1
33,172491.2,1,1,9.1,787,67802.71,0
61,80887.01,2,0,0.0,538,55423.39,1
32,173016.2,3,1,8.9,628,134043.82,1
48,125512.42,1,1,5.2,548,84323.78,0
31,107561.99,2,1,7.5,662,50968.4,0
49,84258.96,3,1,6.3,734,214977.94,0
44,100082.7,2,1,8.6,664,43597.55,0
38,75600.96,1,0,5.5,641,86557.11,1
40,82941.53,1,0,1.6,756,38460.63,0
33,143875.52,2,1,4.7,676,101657.15,0
44,22487.73,2,1,6.3,716,67444.89,0
35,171454.99,2,0,4.5,707,130123.41,0
28,173367.45,1,1,6.6,420,89298.6,0
27,86176.79,2,1,4.8,644,165270.44,0
42,116598.19,2,1,3.5,564,74175.83,0
56,48023.75,2,1,2.3,584,43718.21,0
42,137601.22,3,1,4.0,768,100152.29,1
39,53243.34,2,1,5.5,620,80331.26,0
43,4047.19,2,1,0.1,801,39691.72,0
53,229417.69,2,0,3.0,537,55974.07,1
42,43528.88,2,0,0.0,563,64592.61,0
36,98519.81,2,0,3.5,711,181223.7,0
51,119727.25,1,1,8.0,623,123737.24,0
44,143658.97,2,0,2.0,675,76963.31,0
55,104938.03,2,0,6.8,641,111241.23,1
42,127168.86,2,1,10.0,639,35947.25,0
28,84661.42,1,1,8.6,626,69797.76,0
26,26862.79,2,0,5.3,664,107797.84,0
57,102045.74,2,1,7.1,701,96953.26,0
57,157178.47,1,0,1.6,779,70604.89,1
38,45884.49,1,0,1.1,634,88461.82,1
36,120591.16,1,0,5.1,619,104790.02,1
55,250000.0,3,0,6.0,608,89621.85,1
29,97243.56,3,0,7.7,768,132589.97,0
31,100916.6,2,0,3.6,705,103878.88,1
46,24708.27,1,0,5.5,498,113280.59,1
36,41273.87,2,1,5.4,495,194592.83,0
40,53731.79,2,0,4.7,584,130606.31,1
38,153079.66,3,1,4.8,668,197007.34,0
43,48622.55,1,1,2.9,647,66516.38,0
54,16769.58,1,1,5.7,691,43957.51,1
41,135661.0,2,1,5.5,636,84494.24,0
46,57866.04,1,1,3.9,762,81311.81,0
19,25697.05,2,1,6.7,712,173563.94,0
40,165759.62,2,1,7.6,656,54124.65,0
32,77503.84,1,0,6.7,742,86861.43,1
28,144388.1,1,0,2.4,518,108000.99,1
31,24812.12,2,0,5.2,643,94146.85,0
37,10284.67,2,1,2.7,661,83314.39,0
49,112701.31,2,1,5.2,698,105759.27,0
27,39972.55,1,0,2.7,513,146262.6,1
40,111563.42,2,1,8.2,629,179629.27,0
35,113277.45,1,0,7.0,682,91338.55,1
37,103268.54,2,0,7.9,688,62344.73,1
50,205208.46,2,1,7.6,745,179531.38,1
45,250000.0,1,1,4.3,711,55416.35,0
53,134025.07,2,1,3.9,645,201455.83,1
38,250000.0,2,1,9.4,704,164789.78,0
33,79121.69,1,1,4.6,634,175921.72,0
38,33419.04,2,0,1.6,662,122515.26,0
42,61086.16,3,0,7.5,714,34785.1,0
42,82763.78,2,1,5.4,646,56385.12,1
29,250000.0,1,1,8.8,679,103328.1,0
41,107549.66,2,1,5.6,727,66404.75,0
42,210220.14,1,1,4.9,707,78095.6,1
65,74148.68,2,0,8.8,749,118578.28,0
59,67296.37,2,1,1.2,836,83372.73,0
31,23788.02,1,0,3.5,706,52000.35,1
37,250000.0,1,1,2.8,613,134069.2,1
25,250000.0,3,1,0.0,691,113467.44,0
34,121468.67,1,0,7.2,688,80460.11,0
43,86484.85,2,0,3.6,699,123950.15,0
52,110509.55,2,0,7.3,770,93932.91,1
33,32163.02,2,1,6.0,515,163845.22,1
33,144201.47,1,0,6.5,771,96337.07,0
19,242850.49,1,1,3.9,798,163298.06,0
38,250000.0,1,1,3.1,695,38731.99,0
29,24823.51,2,0,5.2,697,110659.53,1
35,208952.37,3,1,7.3,631,75246.69,0
31,32369.14,3,0,4.9,651,61144.3,0
39,11248.23,1,1,3.2,706,151583.24,1
22,214115.37,1,1,2.0,701,134276.22,0
25,69553.04,1,1,5.5,708,36484.78,0
61,194713.82,3,0,3.6,700,124186.28,1
27,183380.47,1,0,4.8,722,117586.74,1
29,168175.38,1,1,4.4,713,65002.61,0
58,109540.71,2,1,3.9,568,61801.21,0
69,35854.24,2,1,5.7,717,43993.89,0
28,82899.53,1,1,6.4,799,77317.5,0
36,250000.0,2,0,9.9,648,83091.32,0
43,198039.78,1,1,6.9,770,128825.43,0
57,86238.35,1,1,9.0,577,101598.71,0
30,85432.66,1,1,3.0,648,55860.14,0
38,158242.06,1,1,1.0,599,100213.52,1
48,115288.93,3,0,5.0,760,80277.49,1
44,89641.46,2,0,7.1,781,59094.5,1
36,149391.91,2,1,6.8,642,44015.04,1
39,146023.81,1,0,8.0,744,119220.08,1
26,62465.25,2,1,0.0,782,110022.88,0
38,131875.95,3,0,8.1,647,115625.41,0
37,140002.69,1,0,5.8,660,64851.48,0
42,103614.77,4,1,1.1,709,97202.42,0
34,57134.87,2,0,6.8,583,48467.61,1
45,80943.8,2,1,5.4,659,57734.07,0
50,47869.65,1,0,6.0,821,91376.58,1
42,134374.89,2,1,7.5,610,101277.93,0
44,24968.02,2,1,6.1,718,43243.27,0
41,250000.0,3,0,1.3,692,55919.58,1
40,235526.95,3,1,4.6,637,76354.19,0
33,142305.9,1,1,1.0,668,138537.78,1
43,190458.85,3,1,6.6,790,62421.73,0
39,182138.77,3,1,8.5,694,95877.23,1
61,116553.88,2,0,1.9,707,100507.9,0
56,91521.47,1,0,3.3,778,80434.92,1
44,83921.33,1,0,2.8,627,101536.54,1
32,250000.0,1,1,3.9,566,49136.25,0
29,55448.73,1,1,6.0,791,67000.86,0
52,56359.97,3,1,3.9,661,171618.09,1
43,201592.88,1,1,6.6,721,177142.39,0
45,189251.22,2,0,7.7,589,131515.41,1
23,87576.48,2,1,7.8,681,147670.9,1
49,152826.01,2,1,2.2,562,39573.11,0
45,166594.95,1,0,8.5,655,58726.82,0
29,34250.77,2,1,8.7,598,78242.58,0
35,245369.92,2,1,8.9,580,250000.0,0
43,166555.82,2,0,4.6,626,78172.81,0
41,144121.79,1,1,3.1,467,125840.67,1
37,167424.62,2,0,2.5,557,106705.97,0
39,132454.56,1,0,2.2,713,105642.97,1
37,99321.53,2,1,5.0,678,89052.04,0
42,117291.7,1,1,7.1,564,52446.57,0
55,31388.92,1,1,8.3,694,26689.92,0
18,250000.0,2,0,3.8,580,160234.57,1
38,98102.23,1,1,4.9,708,68195.98,1
42,250000.0,3,0,4.7,641,38846.14,0
43,118706.06,3,1,3.4,624,109606.0,0
36,66803.94,1,1,6.8,643,108664.47,1
22,240837.01,1,1,5.9,850,127149.2,0
43,140158.09,1,1,5.4,589,148692.7,0
57,250000.0,3,1,5.9,668,59517.23,1
25,65451.55,2,1,6.5,713,60707.54,0
49,247365.0,1,0,6.5,573,77975.38,1
37,250000.0,2,1,2.9,522,130261.99,0
39,175934.43,1,0,7.2,602,34939.64,1
29,250000.0,2,1,5.6,711,95345.06,0
37,99770.47,2,0,3.9,623,136901.88,0
53,55218.28,1,1,5.6,632,134383.15,0
46,71630.68,2,0,5.9,723,123799.38,0
57,112972.41,1,1,7.7,585,145206.94,0
52,181991.91,2,1,2.4,643,26142.9,0
44,58468.16,2,1,8.3,529,186023.05,1
57,83977.61,3,1,5.1,676,104427.38,0
44,62359.93,2,1,3.7,668,164087.98,0
48,203752.79,3,1,3.7,714,53049.43,1
37,250000.0,1,0,2.5,558,40877.82,0
41,47616.06,2,1,0.6,635,201075.33,0
33,157736.93,1,1,6.7,548,59315.75,0
50,220637.89,2,0,10.0,630,78251.47,0
28,93398.11,1,0,1.0,769,114110.16,1
48,33012.05,4,1,2.6,624,127435.29,1
38,239388.06,3,1,6.9,541,146217.76,0
52,31099.34,1,1,4.9,596,99517.49,0
48,250000.0,2,1,7.1,521,56001.05,0
58,61297.13,2,1,4.7,546,123691.97,0
47,26859.72,1,0,3.5,704,124581.47,1
24,75872.77,2,0,4.4,534,39767.26,1
39,106597.12,2,1,0.0,675,170411.8,0
28,123189.04,2,1,2.1,652,29389.15,0
35,166736.88,1,1,7.4,607,143351.08,1
55,131094.17,3,1,8.0,668,67657.63,0
46,250000.0,1,1,8.5,575,123629.47,0
33,102990.7,2,0,6.1,717,113227.27,0
30,135974.22,1,1,0.0,594,88509.02,0
40,128180.74,1,0,3.4,619,110255.31,1
28,23769.83,1,1,8.3,610,86566.06,0
33,40184.06,1,1,9.1,705,124099.98,0
43,113299.2,2,1,8.4,694,240611.11,0
52,147548.74,2,1,4.4,440,49217.64,0
46,15155.0,2,1,1.7,670,21437.54,0
18,250000.0,2,1,4.9,510,74645.95,1
43,155748.37,1,1,5.0,623,72384.92,0
41,108770.75,1,0,8.9,641,75937.0,1
44,150908.31,2,0,5.6,622,59317.96,1
56,72530.26,2,1,5.0,690,133273.72,0
19,124131.55,2,1,5.2,708,48337.68,1
34,138256.14,1,1,6.0,588,110239.85,0
46,241214.88,2,1,6.6,585,119955.3,1
24,96367.19,1,0,3.2,647,103774.4,1
55,31912.12,2,1,2.4,527,112058.85,0
44,54021.34,1,0,8.4,612,137962.23,1
48,90715.27,2,0,0.9,758,92195.75,1
34,35320.28,1,0,9.1,529,77006.22,1
48,49188.58,2,1,0.2,623,112019.88,0
51,54441.92,1,1,3.5,603,117916.23,0
42,86192.94,2,1,7.4,810,134312.09,0
42,154373.89,1,1,5.0,607,41647.15,0
43,83144.82,2,0,1.7,612,82865.64,0
31,161508.37,1,1,6.1,568,55723.05,1
39,108843.79,1,1,5.2,651,115843.93,0
38,50621.52,2,1,4.5,672,124814.52,0
44,139862.38,1,1,3.4,579,79545.08,1
50,125250.42,1,1,4.9,729,64821.61,1
29,164393.1,2,0,3.5,672,117735.82,1
39,187491.2,2,0,10.0,718,84762.28,0
55,246138.21,2,1,4.4,624,171009.6,0
33,157894.67,1,1,4.1,669,199864.28,0
32,122368.84,2,1,3.6,633,141193.27,0
42,164901.59,2,1,9.4,767,99933.55,0
48,76999.76,1,0,0.9,659,204653.51,1
40,72654.58,2,0,5.9,651,100296.8,0
53,250000.0,1,0,4.4,613,72542.49,1
49,71003.81,3,0,1.4,609,66413.91,1
48,55611.0,2,1,3.0,669,65577.59,0
46,157837.46,2,0,5.8,716,89742.39,1
63,77504.32,2,0,2.8,595,110852.31,0
38,186233.41,1,0,5.6,660,47607.44,0
20,234528.1,1,1,9.3,665,73537.32,1
56,62131.78,2,0,5.4,679,99046.82,0
35,170785.51,2,1,1.4,513,120234.2,0
41,69681.39,2,0,2.9,576,88956.23,0
53,92164.39,1,0,4.3,541,100467.91,1
24,135484.6,2,0,4.1,653,51546.0,0
27,72779.0,1,1,5.4,578,59710.37,0
24,127164.22,1,1,5.8,610,87568.54,0
32,97856.01,3,0,9.3,554,113245.46,0
44,189007.68,2,0,5.0,618,99872.68,1
45,189329.16,2,0,2.1,560,61426.34,1
43,73057.63,4,1,7.9,711,80911.57,0
26,137604.81,1,0,8.2,688,177707.14,0
18,208343.47,3,0,5.6,662,114976.28,0
41,48506.14,2,1,4.4,626,83652.37,0
35,97411.19,2,1,6.6,487,56723.19,0
45,133512.21,1,0,4.5,613,65286.98,1
47,46757.78,1,1,0.0,589,90267.31,1
41,79850.63,1,0,6.4,670,101899.38,1
48,250000.0,1,1,7.2,700,116083.9,1
42,70839.19,1,1,8.6,676,107168.59,0
45,77000.13,2,1,3.2,751,76187.95,0
33,156666.66,2,0,5.6,605,71508.22,0
38,42026.16,1,0,5.6,601,226094.86,1
42,98962.04,2,0,5.2,733,70063.32,0
48,56054.68,3,0,5.3,663,50327.07,0
36,126996.58,2,1,5.1,630,43051.06,1
45,4771.27,2,0,5.5,798,76774.66,1
37,115091.89,2,1,6.9,696,137387.09,0
39,136059.01,1,1,8.1,635,69451.82,0
48,81419.32,1,1,3.1,595,174983.42,0
20,85301.53,3,1,4.6,756,89705.58,1
27,73996.79,2,0,3.9,667,148281.25,0
25,98019.05,2,1,3.6,652,63996.93,0
18,250000.0,3,0,1.0,704,64445.0,1
33,192883.74,1,0,5.1,720,93763.93,1
47,97950.03,1,1,6.2,694,111827.7,1
37,79872.1,2,1,4.6,721,83036.39,0
42,181165.64,1,0,5.0,686,102659.65,1
51,121381.73,2,1,6.0,694,117287.52,1
53,45775.75,2,0,8.5,591,47492.99,0
39,89875.43,2,1,4.0,795,77199.1,0
54,250000.0,1,1,2.1,551,71264.8,0
41,152528.01,2,1,4.8,675,72839.23,0
32,80533.74,1,1,9.7,543,108083.56,1
34,29872.74,3,1,2.1,642,71711.74,0
25,126557.2,1,1,6.6,604,36507.76,0
31,109265.55,3,1,7.9,661,80913.14,0
36,95764.9,2,0,0.0,677,55747.19,1
48,182499.53,1,1,6.0,573,112523.16,0
57,153798.69,2,1,6.5,648,129330.78,0
26,30837.54,1,1,4.3,761,33822.85,1
44,109699.08,1,1,3.4,545,63523.2,0
30,38261.69,2,1,3.5,582,105512.3,0
45,74947.82,2,0,4.2,719,47742.21,0
39,35768.6,1,1,4.2,656,127997.03,1
22,36930.97,2,0,3.8,662,144315.53,0
49,137331.74,2,1,4.1,732,83671.85,1
34,128206.6,2,1,8.0,586,63532.36,0
35,103990.11,1,1,2.0,608,31818.7,0
29,70064.32,1,0,0.6,599,129816.39,1
33,33438.39,3,0,8.0,622,221617.14,1
44,75214.58,1,1,4.5,757,201916.19,1
38,128600.09,1,0,4.0,514,82440.07,1
43,126587.43,2,1,4.7,554,55042.5,0
44,248789.01,1,1,5.5,541,131202.32,0
53,226340.43,2,0,3.7,762,85005.73,1
37,106943.57,1,1,6.3,601,111605.35,0
25,74617.37,2,1,2.6,624,103135.94,0
51,57211.65,3,1,4.2,521,93846.57,1
37,28868.62,4,0,0.0,629,142970.87,0
51,41988.37,3,1,7.9,719,145381.35,0
44,128730.41,3,0,4.6,670,71136.47,0
39,160932.57,1,1,6.7,641,59406.82,0
43,86264.25,3,0,6.2,525,29230.35,0
60,250000.0,3,1,6.4,624,77017.84,0
61,42341.53,2,1,5.0,662,55026.42,0
41,26269.23,1,1,6.0,571,108684.4,0
42,250000.0,1,1,2.6,702,77375.45,1
51,31976.41,2,1,2.1,721,81244.8,1
32,85394.06,2,0,4.7,608,129696.15,0
43,61090.32,1,1,3.3,708,107616.53,1
40,135316.65,1,1,8.6,641,85395.99,1
43,80696.72,2,0,5.9,742,192231.66,0
32,161268.13,1,1,3.2,813,125458.71,0
24,184935.23,3,1,4.3,563,74639.68,1
19,28603.52,1,1,5.3,712,76153.09,0
29,55714.47,1,1,4.8,754,128326.85,0
35,170519.27,1,1,5.7,572,98601.87,1
37,209394.57,2,0,5.2,604,54341.48,1
59,119157.17,3,1,1.5,603,134616.56,1
51,142163.66,1,1,0.0,639,158469.82,0
30,250000.0,1,0,4.1,621,153152.58,1
43,81453.27,1,1,6.4,634,180196.28,0
36,118253.42,1,1,4.1,717,228365.82,1
37,226501.82,2,0,8.1,498,196034.61,0
42,235646.71,1,1,4.9,572,104910.49,0
46,98555.78,2,1,8.4,704,81942.45,0
37,57153.85,1,0,7.9,694,39507.44,0
51,97772.56,1,0,7.6,565,90441.23,1
29,104629.95,1,0,2.0,695,113683.8,0
40,55498.42,1,0,5.0,756,91781.29,1
66,62286.22,1,1,8.1,646,38478.91,1
42,235857.28,1,1,5.7,569,79109.27,0
54,146621.7,1,0,6.4,720,120326.53,0
41,85702.66,3,0,1.5,788,56721.19,1
46,44589.61,1,0,9.8,579,96967.0,0
39,62874.57,1,1,3.0,653,109294.04,0
38,24290.59,1,0,0.0,737,148843.45,1
32,121323.42,2,1,4.1,659,194509.71,0
44,60188.81,3,1,0.0,510,75928.18,1
31,128003.63,2,1,2.3,685,97758.53,0
47,169371.21,2,1,10.0,572,99145.73,0
51,129287.37,2,0,4.0,548,120545.63,1
44,78075.68,1,1,1.4,512,114622.15,0
37,53233.66,2,0,5.1,745,170897.19,0
45,39250.27,2,1,2.8,583,31523.27,0
37,221392.99,1,1,7.2,677,108626.91,0
49,125472.51,2,1,2.8,696,112072.35,0
22,81415.82,1,1,5.7,663,80960.11,0
37,154862.58,1,0,2.1,674,32492.37,1
20,198994.29,2,1,10.0,680,87563.25,0
25,61180.33,1,1,6.3,661,65369.6,0
54,122893.14,2,1,4.6,589,191500.34,0
49,124605.23,4,1,4.3,582,106558.14,0
33,250000.0,2,1,3.6,642,62918.58,0
25,80575.02,1,0,3.1,640,35734.6,1
18,51691.9,2,1,3.0,684,117400.08,0
35,132306.55,2,1,9.2,738,123109.82,0
64,163422.26,1,0,3.6,678,81671.91,1
44,116056.24,1,0,0.0,585,118091.96,1
34,250000.0,2,1,2.1,476,76944.77,1
45,80386.4,3,0,7.3,588,145482.61,1
24,118059.4,1,0,4.4,542,140684.23,1
37,30743.52,1,1,4.7,592,43047.03,0
41,49379.29,4,1,7.9,669,48037.09,0
39,61488.4,1,0,3.1,657,224502.41,1
48,90488.59,1,0,6.6,799,136906.47,0
43,35411.31,2,0,3.3,689,50995.54,0
47,153420.34,1,1,6.4,803,44395.52,0
33,57277.03,1,0,4.0,707,98820.7,0
49,250000.0,2,1,4.4,737,53826.6,1
56,58890.32,2,0,7.1,621,78045.45,1
30,109750.19,2,0,6.9,564,88105.42,1
31,100328.52,1,1,4.6,614,86410.78,1
53,45989.21,2,1,3.8,649,149418.62,1
38,90741.74,2,1,9.0,600,205500.81,0
54,89931.29,2,0,6.5,570,72551.5,0
36,185052.72,2,1,4.0,683,54109.68,0
55,135671.98,2,0,3.4,570,107210.1,1
41,151935.96,3,1,7.6,527,187536.92,0
43,182438.97,2,1,5.3,560,75065.63,0
56,153565.55,1,1,4.6,631,131956.35,1
36,122194.28,3,0,5.3,571,61750.29,1
31,61048.94,3,1,5.8,632,90865.63,0
36,116912.59,1,1,4.9,698,53353.29,1
45,52356.39,1,1,8.0,696,90439.77,0
24,95763.94,2,0,8.1,597,85405.02,0
46,87033.7,1,0,6.3,546,118328.54,0
35,91086.48,2,1,8.4,604,200324.27,0
51,35726.57,2,1,5.0,702,75550.91,0
18,4898.18,1,1,6.7,721,36595.73,0
32,75713.76,1,1,7.5,678,82175.97,0
23,210422.69,3,0,7.5,746,102976.68,1
32,108628.99,1,1,7.3,788,98559.92,0
42,200696.37,2,1,6.6,611,83844.96,0
38,52636.83,1,0,9.9,769,175788.47,1
37,72946.82,1,1,3.7,629,95689.27,0
38,250000.0,2,1,4.6,732,85854.27,0
42,55225.23,1,1,4.5,707,63423.97,0
30,149978.97,2,1,4.1,492,41008.93,0
47,149823.29,2,1,0.0,573,104372.27,0
47,139063.96,1,1,8.4,552,100509.05,0
44,151238.8,1,1,2.4,507,55874.66,0
46,54593.05,2,1,5.4,720,88220.74,1
43,78442.55,2,0,1.4,816,84358.58,1
60,7071.67,2,1,6.6,629,67950.84,0
39,250000.0,2,1,3.0,718,62980.17,0
37,150639.37,1,1,2.2,769,107996.24,0
32,61543.97,1,1,5.5,667,81303.93,1
30,53102.21,2,1,3.2,648,68983.17,0
28,212767.26,2,1,3.6,630,61072.23,0
31,58208.79,2,0,5.4,693,84886.61,1
39,61393.81,1,1,7.0,720,136432.13,0
43,44365.39,2,0,3.0,687,98770.37,0
41,169635.02,2,1,2.5,684,80891.18,0
32,198807.82,1,1,5.1,646,103402.63,1
49,87420.51,2,1,6.3,523,166298.26,0
47,199639.45,2,1,8.7,722,112223.9,0
38,131256.73,1,0,2.3,547,101179.9,1
33,42136.07,1,0,4.2,700,119958.75,1
45,245583.99,1,0,7.9,710,83822.67,0
42,43972.88,3,1,9.9,559,97772.19,0
26,92073.78,1,0,2.5,601,72224.53,1
39,87605.96,1,1,3.2,820,44793.39,1
43,76638.71,1,1,6.0,644,105013.17,0
31,17158.91,1,1,3.6,552,105194.99,0
42,250000.0,1,1,3.1,714,79070.42,1
25,19734.36,2,0,5.6,588,143441.77,1
53,250000.0,1,0,8.9,496,65045.57,1
52,51652.11,1,1,1.7,692,40556.12,1
37,66090.14,1,1,8.7,577,65766.3,0
44,239628.18,1,0,3.6,676,44987.6,1
